ID,Variety Name,Variety Code,,,
168,Tancho Goshiki Ginrin,TGG,,,
169,Tancho Kin Showa,TKS,,,
170,Tancho Kohaku,TKO,,,
171,Tancho Kujaku,TKU,,,
172,Tancho Ochiba,TOC,,,
173,Tancho Sanke,TSA,,,
174,Tancho Shiro Utsuri,TSU,,,
175,Tancho Showa,TSH,,,
176,Yamabuki Ogon,YOG,,,
177,Yellow Magic,YMA,,,
178,Yuki Asagi,YAS,,,
179,UNKNOWN,XXX,,,
180,Aragoke,ARA,,,
181,Ginrin Doitsu Kogane Ochiba,GDK,,,
182,Karashi Shigure,KRS,,,
183,Doitsu Sanshoku,DOS,,,
