No,KOI Code,Variation,Breeder,VariationID,BreederID,MMYY,Sequence,Bloodline,BloodlineID,Nickname,Variety ,Gender,Birth Year & Month,Age,Breeder,Purchase Date,Size (cm),updated date,update size (cm),Seller Agent,Seller ID,Handling Agent,Price Buy ( JPY ),Price Buy ( IDR ),Keeping Location,Link Photos,Link Video,Link Trophy,Link Certificate,Sell Price (IDR),Sell Price ( JPY),Date of Sell,Buyer Name,Date of Death,Death Note,
39,SANSFF012300001,SAN,SFF,151,72,0123,00001,Miss Rome,4,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20,,,Pieth,2,,,,,SANSFF012300001.JPG,,,,,,,,,,
40,SANSFF012300002,SAN,SFF,151,72,0123,00002,Silk Sonie,5,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,15,,,Pieth,2,,50000,,,SANSFF012300002.PNG,,,,,,,,,,
41,KAUSFF012300001,KAU,SFF,98,72,0123,00001,Miss Monaco,6,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,2,,50000,,,KAUSFF012300001.jpg,,,,,,,,,,
42,KAUSFF012300002,KAU,SFF,98,72,0123,00002,Miss Monaco,6,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,2,,50000,,,KAUSFF012300002.jpg,,,,,,,,,,
43,KAUSFF012300003,KAU,SFF,98,72,0123,00003,Miss Monaco,6,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,2,,50000,,,KAUSFF012300003.jpg,,,,,,,,,,
44,KAUSFF012300004,KAU,SFF,98,72,0123,00004,Miss Monaco,6,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,2,,50000,,,KAUSFF012300004.jpg,,,,,,,,,,
45,KAUSFF012300005,KAU,SFF,98,72,0123,00005,Miss Monaco,6,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,2,,50000,,,KAUSFF012300005.jpg,,,,,,,,,,
46,SANSFF012300003,SAN,SFF,151,72,0123,00003,Miss Rome,4,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,2,,50000,,,SANSFF012300003.jpg,,,,,,,,,,
47,KAUSFF012300006,KAU,SFF,98,72,0123,00006,Miss Rome,4,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,2,,50000,,,KAUSFF012300006.jpg,,,,,,,,,,
48,SANSFF012300004,SAN,SFF,151,72,0123,00004,Miss Rome,4,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,2,,50000,,,SANSFF012300004.jpg,,,,,,,,,,
49,SANSFF012300005,SAN,SFF,151,72,0123,00005,Miss Rome,4,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,2,,50000,,,SANSFF012300005.jpg,,,,,,,,,,
50,SANSFF012300006,SAN,SFF,151,72,0123,00006,Miss Rome,4,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,2,,50000,,,SANSFF012300006.jpg,,,,,,,,,,
51,KAUSFF012300007,KAU,SFF,98,72,0123,00007,Sade,1,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,2,,,,,KAUSFF012300007.jpg,,,,,,,,,,
52,KAUSFF012300008,KAU,SFF,98,72,0123,00008,Sade,1,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,2,,,,,KAUSFF012300008.jpg,,,,,,,,,,
53,KAUSFF012300009,KAU,SFF,98,72,0123,00009,Sade,1,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,2,,,,,KAUSFF012300009.jpg,,,,,,,,,,
54,KAUSFF012300010,KAU,SFF,98,72,0123,00010,Sade,1,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,2,,,,,KAUSFF012300010.jpg,,,,,,,,,,
55,KAUSFF012300011,KAU,SFF,98,72,0123,00011,Sade,1,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,2,,,,,KAUSFF012300011.jpg,,,,,,,,,,
56,TAISFF012300001,TAI,SFF,165,72,0123,00001,Lily,8,,Taisho Sanshoku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,2,,,,,TAISFF012300001.jpg,,,,,,,,,,
57,SANSFF012300007,SAN,SFF,151,72,0123,00007,Lily,8,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,2,,,,,SANSFF012300007.jpg,,,,,,,,,,
58,TSASFF012300001,TSA,SFF,174,72,0123,00001,Lily,8,,Tancho Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,2,,,,,TSASFF012300001.jpg,,,,,,,,,,
59,TSASFF012300002,TSA,SFF,174,72,0123,00002,Lily,8,,Tancho Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,2,,,,,TSASFF012300002.jpg,,,,,,,,,,
60,TSASFF012300003,TSA,SFF,174,72,0123,00003,Lily,8,,Tancho Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,2,,,,,TSASFF012300003.jpg,,,,,,,,,,
61,SANSFF012300001,SAN,SFF,151,72,0123,00001,Amethyst,9,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,2,,,,,SANSFF012300001.jpg,,,,,,,,,,
62,SANSFF012300002,SAN,SFF,151,72,0123,00002,Amethyst,9,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,2,,,,,SANSFF012300002.jpg,,,,,,,,,,
