No,KOI Code,Variation,Breeder,VariationID,BreederID,Bloodline,BloodlineID,MMYY,Sequence,Nickname,Variety ,Gender,Birth Year & Month,Age,Breeder,Purchase Date,Size (cm),updated date,update size (cm),Seller Agent,Handling Agent,Price Buy ( JPY ),Price Buy ( IDR ),Keeping Location,Link Photos,Link Video,Link Trophy,Link Certificate,Sell Price (IDR),Sell Price ( JPY),Date of Sell,Buyer Name,Date of Death,Death Note,
28,TAIMOK022300001,TAI,MOK,164,47,,NULL,0223,00001,,Taisho Sanshoku,Unknown,,,Momotaro koi,Feb 2023,,,,Pieth,,,,,,TAIMOK022300001.MOV,,,,,,,,,
29,KAUMOK022300004,KAU,MOK,97,47,,NULL,0223,00004,,Kohaku,Unknown,,,Momotaro koi,Feb 2023,,,,Pieth,,,,,,KAUMOK022300004.MOV,,,,,,,,,
30,KAUMOK022300005,KAU,MOK,97,47,,NULL,0223,00005,,Kohaku,Unknown,,,Momotaro koi,Feb 2023,,,,Pieth,,,,,,KAUMOK022300005.MP4,,,,,,,,,
31,KAUMOK022300006,KAU,MOK,97,47,,NULL,0223,00006,,Kohaku,Unknown,,,Momotaro koi,Feb 2023,,,,Pieth,,,,,,KAUMOK022300006.MP4,,,,,,,,,
32,KAUISA032300001,KAU,ISA,97,16,,NULL,0323,00001,,Kohaku,Unknown,,,Isa Koi Farm,March 2023,,,,Pieth,,,,,,KAUISA032300001.MP4,,,,,,,,,
33,SHOISA032300001,SHO,ISA,155,16,,NULL,0323,00001,,Showa,Unknown,,,Isa Koi Farm,March 2023,,,,Pieth,,,,,,SHOISA032300001.MP4,,,,,,,,,
34,KIUMHI032300001,KIU,MHI,105,41,,NULL,0323,00001,,Ki Utsuri,Unknown,,,Maruhiro Koi Farm,March 2023,,,,Pieth,,,,,,KIUMHI032300001.MP4,,,,,,,,,
35,KAUSFF022300001,KAU,SFF,97,71,,NULL,0223,00001,,Kohaku,Unknown,,,Sakai Fish Farm,Feb 2023,,,,Pieth,,,,,,KAUSFF022300001.MP4,,,,,,,,,
36,KAUSFF022300002,KAU,SFF,97,71,,NULL,0223,00002,,Kohaku,Unknown,,,Sakai Fish Farm,Feb 2023,,,,Pieth,,,,,KAUSFF022300002.JPG,,,,,,,,,,
37,SANSFF022300001,SAN,SFF,150,71,,NULL,0223,00001,,Sanke,Unknown,,,Sakai Fish Farm,Feb 2023,,,,Pieth,,,,,SANSFF022300001.JPG,,,,,,,,,,
38,SANSFF022300002,SAN,SFF,150,71,,NULL,0223,00002,,Sanke,Unknown,,,Sakai Fish Farm,Feb 2023,,,,Pieth,,,,,SANSFF022300002.MP4,,,,,,,,,,
39,SANSFF012300001,SAN,SFF,150,71,Miss Rome,3,0123,00001,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20,,,Pieth,,,,,SANSFF012300001.JPG,,,,,,,,,,
40,SANSFF012300002,SAN,SFF,150,71,Silk Sonie,4,0123,00002,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,15,,,Pieth,,50000,,,SANSFF012300002.PNG,,,,,,,,,,
41,KAUSFF012300001,KAU,SFF,97,71,Miss Monaco,5,0123,00001,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,,50000,,,KAUSFF012300001.jpg,,,,,,,,,,
42,KAUSFF012300002,KAU,SFF,97,71,Miss Monaco,5,0123,00002,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,,50000,,,KAUSFF012300002.jpg,,,,,,,,,,
43,KAUSFF012300003,KAU,SFF,97,71,Miss Monaco,5,0123,00003,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,,50000,,,KAUSFF012300003.jpg,,,,,,,,,,
44,KAUSFF012300004,KAU,SFF,97,71,Miss Monaco,5,0123,00004,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,,50000,,,KAUSFF012300004.jpg,,,,,,,,,,
45,KAUSFF012300005,KAU,SFF,97,71,Miss Monaco,5,0123,00005,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,23-25,,,Pieth,,50000,,,KAUSFF012300005.jpg,,,,,,,,,,
46,SANSFF012300003,SAN,SFF,150,71,Miss Rome,3,0123,00003,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,,50000,,,SANSFF012300003.jpg,,,,,,,,,,
47,KAUSFF012300006,KAU,SFF,97,71,Miss Rome,3,0123,00006,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,,50000,,,KAUSFF012300006.jpg,,,,,,,,,,
48,SANSFF012300004,SAN,SFF,150,71,Miss Rome,3,0123,00004,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,,50000,,,SANSFF012300004.jpg,,,,,,,,,,
49,SANSFF012300005,SAN,SFF,150,71,Miss Rome,3,0123,00005,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,,50000,,,SANSFF012300005.jpg,,,,,,,,,,
50,SANSFF012300006,SAN,SFF,150,71,Miss Rome,3,0123,00006,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-20,,,Pieth,,50000,,,SANSFF012300006.jpg,,,,,,,,,,
51,KAUSFF012300007,KAU,SFF,97,71,Sade,NULL,0123,00007,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,,,,,KAUSFF012300007.jpg,,,,,,,,,,
52,KAUSFF012300008,KAU,SFF,97,71,Sade,NULL,0123,00008,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,,,,,KAUSFF012300008.jpg,,,,,,,,,,
53,KAUSFF012300009,KAU,SFF,97,71,Sade,NULL,0123,00009,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,,,,,KAUSFF012300009.jpg,,,,,,,,,,
54,KAUSFF012300010,KAU,SFF,97,71,Sade,NULL,0123,00010,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,,,,,KAUSFF012300010.jpg,,,,,,,,,,
55,KAUSFF012300011,KAU,SFF,97,71,Sade,NULL,0123,00011,,Kohaku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,19-19,,,Pieth,,,,,KAUSFF012300011.jpg,,,,,,,,,,
56,TAISFF012300001,TAI,SFF,164,71,Lily,7,0123,00001,,Taisho Sanshoku,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,,,,,TAISFF012300001.jpg,,,,,,,,,,
57,SANSFF012300007,SAN,SFF,150,71,Lily,7,0123,00007,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,,,,,SANSFF012300007.jpg,,,,,,,,,,
58,TSASFF012300001,TSA,SFF,173,71,Lily,7,0123,00001,,Tancho Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,,,,,TSASFF012300001.jpg,,,,,,,,,,
59,TSASFF012300002,TSA,SFF,173,71,Lily,7,0123,00002,,Tancho Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,,,,,TSASFF012300002.jpg,,,,,,,,,,
60,TSASFF012300003,TSA,SFF,173,71,Lily,7,0123,00003,,Tancho Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,20-21,,,Pieth,,,,,TSASFF012300003.jpg,,,,,,,,,,
61,SANSFF012300001,SAN,SFF,150,71,Amethyst,8,0123,00001,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,,,,,SANSFF012300001.jpg,,,,,,,,,,
